<<<<<<< HEAD
-0.46292312 0.06911184
-0.63496816 0.36133975
-0.71634992 0.38006148
-0.52236451 -0.00085377
0.12903639 -0.37525524
0.75308301 -0.01600568
1.17555434 0.42211291
1.11697537 0.77942898
1.37293275 0.66737006
1.40378514 0.79734395
1.58472763 1.2426717
1.68807394 1.60758677
1.78438594 2.18829542
2.11411463 2.49086084
2.37397613 3.08332876
2.87632197 3.67275656
3.33273014 4.07421154
3.70148828 4.4290419
4.0499906 5.11098602
4.12324308 5.61704805
4.23032507 6.19393184
4.14450227 6.59363
4.0974605 7.31168331
3.79897242 7.56876651
3.81302353 7.74553123
4.24427019 7.88184446
4.58347237 7.76134212
4.4419087 8.21778389
4.37616159 8.21388865
4.7019711 8.23133067
4.68487296 8.4194079
4.71223862 8.36450098
5.03408469 8.62796336
5.17169581 8.87769493
5.0650791 8.88506175
4.89388852 9.04775557
4.65951594 9.12390403
4.89664473 9.57243461
5.11684545 9.47276658
5.68702981 9.82084086
5.89375317 9.73104957
5.95287343 9.9203236
6.1037932 9.84627418
6.23271066 9.74580597
6.41556764 9.91190554
6.40885498 9.94833631
6.3688226 10.08579976
6.25290974 10.43405754
6.08029458 10.66231527
6.5676548 11.0770548
6.65374046 11.35586587
6.55646159 11.69455876
6.53154155 12.08304829
6.72358048 12.46682804
6.99375369 12.58145918
7.04014565 12.88928341
7.06912253 13.53006497
6.90789831 13.9592182
6.70192778 14.12972262
6.58029895 14.73172624
6.74633602 15.06514978
7.15385941 15.11485327
7.49023639 15.0912663
7.8226953 15.53866883
8.00384853 15.87188294
8.16220448 16.13817315
8.49260413 16.0003689
8.82730952 15.93722812
8.88065437 15.95101795
9.09987011 15.78782633
9.21366184 16.04036226
9.08615723 16.42966868
9.23554322 16.76784676
9.43134175 17.14784479
9.90510401 17.13817558
10.66492652 17.21723773
11.11675047 17.26593795
11.78988545 17.14162129
11.98172951 17.11325726
12.31683782 17.17643351
12.63593388 17.08985587
13.22936277 17.66246766
13.80577841 18.03733255
14.03695903 17.96625219
14.53937616 17.81067167
14.98910021 17.8971779
15.17793261 18.30808597
15.1567178 18.52141661
15.50712715 18.31852526
15.95970866 18.50208834
16.3976578 18.71765422
16.3819171 19.0264572
16.66556416 19.17865106
16.81196587 19.3434877
17.00799448 19.58226992
17.02907783 19.64874368
17.63335276 19.87590248
17.92289478 19.81480941
18.19115471 19.77536164
18.43071335 19.88598887
18.4875001 20.45572834
18.34647154 21.07753722
18.71659596 21.20964778
19.00329805 21.4673116
19.39348685 21.71179168
19.75998484 21.67304654
19.95166378 21.88859731
19.89352776 21.99179648
20.1124678 22.12898685
20.10092908 22.37151268
20.42315517 22.6136378
20.63268155 22.75733222
21.19760851 22.64728639
21.39649599 22.52781564
21.6601163 22.49699383
22.16891784 22.89513182
22.51102796 23.20982816
22.55697207 23.11544763
22.95525804 23.36278235
23.09649461 23.66549718
23.20331807 24.04801528
23.56228841 24.34335903
23.89349181 24.63115011
23.82555535 24.87336939
24.02185893 25.13213527
23.98285062 25.44834621
24.00564657 25.67049268
24.1945424 25.70516742
24.02880548 25.72166396
24.25768416 25.65153828
24.26108474 25.71686798
24.49346476 25.75847649
24.81102139 26.02056527
24.83561851 26.06574614
24.97891725 25.9039994
25.21127353 25.93258263
25.62966289 26.01428686
26.23087054 26.29360821
26.80423654 26.21894744
27.42482492 26.42410048
27.9250918 27.0226328
28.294479 27.47970814
28.51503822 27.78051606
28.72325616 28.24173198
29.05393959 28.39524969
29.46581137 28.38106325
29.69398849 28.87421335
29.50715499 29.03350831
29.68327971 29.18518357
29.58589978 29.3363008
29.67704254 29.45905939
29.43419078 29.7004182
29.49286607 30.0254048
29.70126713 30.36985643
29.94426302 30.65545123
30.12086202 30.7437451
30.45027203 31.09025456
30.65896979 31.29375491
30.65595441 31.49197196
30.83230889 31.64665424
31.01963815 31.91728542
31.02427924 32.18287624
31.00121387 32.66644763
31.03068519 33.0135391
31.18298507 33.53421821
31.02183757 33.99357609
30.97956018 34.19706271
30.89144687 34.21068426
30.99845032 34.28507263
31.26724743 34.24538865
31.50533203 34.10066723
31.62023 33.98509098
31.84656311 34.24029953
32.36100003 34.52057067
32.68543881 34.42369073
33.21671437 34.57852981
33.56967928 34.58557966
33.83624066 34.7150179
34.07745316 34.95143873
34.3637439 35.44171219
34.47661399 35.52343455
34.68262167 35.65920858
34.77312411 35.84233496
34.83644296 36.0014832
34.94225946 36.44470257
35.14841943 36.54273743
35.22139286 36.56184802
35.45448194 36.62742421
35.37906702 36.89086317
35.40092257 37.24676798
35.4775905 37.85683366
35.94604998 38.00326201
36.36791468 38.20556902
36.44292343 38.40378993
36.26825895 38.46083693
36.42360924 38.35239752
36.90861067 38.31993878
37.53204857 38.85935275
37.96065187 39.62022889
38.39552622 39.92207966
38.58216806 39.81787596
38.68279804 39.6534727
38.86326229 39.82098886
38.89026906 39.98199671
39.09746803 40.26477597
39.10438131 40.27518419
39.45304398 40.34341154
39.55606832 40.50194124
39.88755071 40.7500713
40.18198381 41.02645747
40.33701552 40.97563323
40.309082 40.59116858
40.26861006 40.53063299
40.58209015 40.68855343
40.84966604 40.87059772
40.85084307 41.20291599
41.04735044 41.63879821
41.32229505 42.10981819
41.30977216 42.18383301
41.3589228 41.92467561
41.6048719 42.15177552
41.29957251 42.18456569
41.3847957 42.45525457
41.51863558 42.88188748
41.90892698 43.27432255
42.33674529 43.49859244
42.89591681 43.86677568
42.83626375 44.36098602
42.85942272 45.03791888
43.03941807 45.64899526
43.24885067 45.84787727
43.4246292 46.05751332
43.91750143 46.33170242
44.06402669 46.68946956
44.15235423 46.92743034
44.48369435 46.97937372
44.84236421 47.24089157
45.33270022 47.30142096
45.64146637 47.50617689
45.82848238 47.74251751
46.04381153 48.12243692
46.07863073 48.27417784
46.64736903 48.69285672
47.17963024 48.96561762
47.56190813 49.30310719
48.02414202 49.40073558
48.23102316 49.44492953
48.51013383 49.89690204
48.81218706 50.44616222
49.16939286 50.93334731
49.29173884 51.46522689
49.32698638 51.95394509
49.39692511 52.30643634
49.7011789 52.58787655
50.09410535 52.72043536
50.41844012 52.9875064
50.63690547 53.19050034
50.84704543 53.47736735
50.91700221 53.69847663
51.03742818 53.40973177
50.88683277 53.35298511
50.84870243 53.25199422
50.63495835 53.34225146
50.7986799 53.69453332
50.80150463 53.94329061
50.77725282 54.11922488
50.55203507 54.04870284
50.34699662 54.05805685
50.43486867 53.84306219
50.85894405 53.57937609
51.65165871 53.48071728
52.29549265 53.39983698
52.55884733 53.16604063
52.73895087 53.2618452
53.36316718 53.41071232
53.49606867 53.79199093
53.43378103 54.39387502
53.43402778 54.84474188
53.16090778 54.84646711
53.11520774 54.8930262
53.05726983 54.89131384
53.093327 55.04168743
53.08787211 55.3922132
53.3917289 55.245131
53.65317754 55.42343243
53.80132176 55.59230055
54.10134996 56.15441018
54.53311701 56.52388672
54.78726949 56.92038939
55.25739268 57.09328672
55.56709341 57.06306803
55.9900654 56.86632401
56.25467016 56.73666195
56.36268706 56.46382681
56.4679424 56.25171847
56.52246983 56.38419985
56.72523515 56.45245543
57.35151522 56.23475179
57.73754224 56.36062882
58.17299485 56.51576644
58.42792792 56.60950623
58.39288276 56.80355723
58.62632547 56.94802247
58.57236716 57.01794133
58.56370498 57.14700454
58.81526638 57.36482227
59.05818934 57.60779629
59.25075829 57.64751943
59.25088772 57.649883
59.29103829 58.0021384
59.48730897 58.41319917
59.31716346 58.3870422
59.29702365 58.7775369
59.31933929 59.17955292
59.28631226 59.37933737
59.10470724 59.40418238
59.03533035 59.56373165
58.74167601 59.66197929
58.60784035 59.85912834
58.61419733 60.07250157
58.61134385 60.22613858
58.51461457 60.44082557
58.43761016 60.91924149
58.37214818 61.14249391
58.67033739 61.44294554
59.16422744 61.25218677
59.52374396 61.44517746
60.06093959 61.31938371
60.31319146 61.42417123
60.57308969 61.54437414
60.77907837 61.58107142
61.45019872 61.2816118
61.62462574 61.48646206
61.77857935 61.3934912
62.08059567 61.10627527
62.88551774 61.33902118
63.14307089 61.46459259
63.28813022 61.2604878
63.38962692 61.2820958
63.53806972 61.62471809
63.57800801 61.75473675
63.9356195 62.08077401
64.37032513 62.40757622
64.77522704 62.36527432
65.28672185 62.66801581
65.53028061 63.11775493
66.02171482 63.51882648
66.34938828 63.60445041
67.0738446 63.83927987
67.2355364 64.29647666
67.72419946 64.60486735
67.94634018 64.98435646
68.3370134 65.46634019
68.47121418 65.62488745
68.37473777 65.85509387
68.7474038 66.00137941
68.71776138 66.25576568
68.92427012 66.27543494
69.23521105 66.44357292
69.29624228 66.45544959
69.30479528 66.87175716
69.44282801 67.20569421
69.70082418 67.40120468
69.82112424 67.46818231
69.8887428 67.73737999
69.465087 68.31178204
69.49884494 68.81655817
69.3764069 69.63504147
69.55801814 69.78323838
69.65308136 69.93281562
70.05698695 69.97251505
70.45335162 70.0695936
71.01601712 70.37888391
71.04077174 70.58377658
71.20866475 70.49723364
71.18575758 70.59840308
71.0226058 71.12230759
70.83787973 71.9519711
70.93436287 72.25807959
71.15510378 72.72858046
71.40398573 72.96481049
71.3545046 73.15098632
71.44013149 73.52497492
71.46597833 73.84882645
71.94242627 74.42631343
72.40078337 74.48408282
72.36312965 74.55459552
72.22776954 74.76981067
72.24650071 74.8251155
72.12056531 75.02036413
72.00315591 75.340825
72.13856407 75.51085012
72.52889494 75.29768658
72.8700259 75.64802852
73.08596671 75.75386054
73.21462245 76.12790967
73.1410793 76.20823364
73.07328887 76.48632032
73.47568663 76.64328625
73.52587962 76.80026074
73.54085009 77.05147499
73.77016255 77.28493231
74.065823 77.29319965
74.427336 77.73735568
74.47124548 77.9690902
74.76315487 78.29576544
74.94161233 78.60696185
75.20028459 78.96705887
75.4468335 79.02551094
75.926454 79.19223108
76.0425868 79.31525667
75.88688743 79.37354322
75.84018419 79.35297133
76.01725569 79.28130409
76.38594559 79.05220763
76.60584714 78.97454929
76.3732324 79.08671544
76.62218895 79.22072478
77.04399447 79.5957881
77.256757 79.98874189
77.39261098 80.45863292
77.60694272 80.63046677
77.96623899 80.63058542
78.11486758 80.90414282
77.98648976 81.2255837
77.91895062 81.54883525
78.05004609 81.70263718
78.22444703 81.99282129
78.20874717 82.08894071
78.19037187 82.46023023
77.90807869 82.72051233
77.71205767 82.75142654
77.46463347 82.84732722
77.74353198 83.03976876
78.20036169 83.61345866
78.626562 83.88557398
78.53720245 84.25062678
78.31904986 84.38668084
78.56108486 84.53303361
78.52527163 84.67384011
78.74308882 84.68277329
79.07231089 85.00924
79.10570288 85.1125074
79.14338067 85.44107217
79.27452842 85.48882446
79.30391733 85.59792189
79.40502736 85.58496111
79.57896344 85.78371407
79.50651087 85.82631897
79.61185853 85.46205063
79.86211054 85.15552242
80.33856987 85.31257037
80.77236507 85.37453537
80.43700277 85.46677739
80.61333991 85.09997981
80.84830759 84.99054785
81.23170713 85.26067635
81.20001495 85.57964298
81.45246575 85.9840448
81.45400122 86.62953348
81.46971423 86.79304532
82.03309918 87.13937504
82.13085775 87.42968816
82.34037299 87.84121004
82.58952711 87.87374937
82.49532582 87.91159218
82.54252818 88.02738485
82.59749628 88.30567644
82.65526866 88.73851275
82.55158711 89.01422465
82.78111935 89.41676897
82.63231051 89.84373421
82.64603451 90.24659792
82.77094564 90.62761388
82.56602837 90.61928594
82.33464583 90.50027678
82.37720101 90.78515381
82.59428387 90.85164884
82.65667616 91.04646554
82.61520488 91.4437562
82.48043838 91.47956922
82.88138604 91.91520437
83.07825912 92.10268366
83.48157405 92.33978075
83.83847504 92.8455544
83.84094231 93.41695189
84.37056992 93.73488665
84.92510749 94.11528404
85.02660917 94.49475516
85.45592576 94.68598171
85.74895723 94.94779546
86.07576854 95.24324729
86.29743127 95.63222729
86.48790908 95.69379155
87.03227897 96.26384925
87.36531241 96.5870314
87.73010543 96.83826261
88.06856754 97.26547008
88.47688806 97.82227458
88.56829495 97.9531763
88.38662313 98.00060015
88.27227398 97.99201075
88.40451371 98.18659422
88.65983732 98.24547623
88.68737968 98.5365588
88.70159191 98.53573755
89.21936627 98.68470537
89.47048695 98.93847446
89.71078182 99.08143311
90.32026671 99.2088441
90.83472793 99.28836234
90.86978993 99.32275289
90.81099049 98.99610024
90.85918625 98.80353303
91.00182869 99.1703636
90.94565358 99.05449126
91.02492119 99.24566209
91.3580854 99.10405449
91.70435801 99.05412317
91.68068034 99.34127933
91.93822759 99.59854468
92.17214909 99.6108209
92.76752438 99.66530443
92.96193292 99.95128517
93.06215936 100.33063195
92.99835395 100.5963512
93.13934019 100.71918299
93.16961588 100.9648788
93.29101205 101.14472789
93.88474171 101.44810471
94.25198694 101.84300305
94.817338 102.28374813
95.15674983 102.62440067
95.50266434 103.43412257
95.89030808 103.87994304
96.1580947 104.47907314
96.43124835 104.5898529
96.99067355 104.73153882
97.24495952 105.15076978
97.57814952 105.15826086
97.64896796 105.11955217
97.72197217 105.21631622
97.77367577 105.20648446
97.74135625 105.28527881
97.45720204 105.53354799
97.25329028 105.75519778
97.51212232 105.65735501
97.70974123 105.84303395
97.87387257 105.85779781
97.99885088 105.81678545
98.28073811 105.76613959
98.59750336 105.60361493
98.77660221 105.55832473
99.05788489 105.55756584
99.1493312 105.40327762
99.55591162 105.52808108
100.16269198 105.87060833
100.69581872 106.09259632
100.77935108 106.30217124
100.95557295 106.60592988
101.50958664 106.55516832
102.04426529 106.8704163
101.89220953 106.87542926
102.11585146 107.27017667
102.75298679 107.44707654
103.17464244 107.58025501
103.27376591 107.8071317
103.17255019 108.19182848
103.45482112 108.20789229
103.52306197 108.49859585
103.58540359 108.74612078
103.94747176 108.85890605
104.24914166 108.96899151
104.39055693 108.95095116
104.54750286 109.13948869
104.58667497 109.59150692
105.21080937 109.57670787
105.88578847 109.82573026
106.08697751 110.03378531
106.17754136 109.88690988
106.33452252 110.19994307
106.6064601 110.57531994
107.15116573 110.93934694
107.67347649 111.28564956
108.07128697 111.4571272
108.38772917 111.6979715
108.72381824 112.09683776
109.02181738 112.28481002
109.4473318 112.57669341
109.73956155 112.73126636
109.99492886 112.93717266
110.50673656 112.92982298
110.92435202 113.11414646
111.41151061 113.5034436
111.79636673 113.88723266
111.80898776 114.62128324
112.16054758 114.87426479
112.47216037 115.50536265
112.94768155 115.8968916
=======
0.03382359 3.50581018e-08
0.08322177 4.84847648e-05
0.16810021 0.00021721
0.2486276 0.00044266
0.34514022 0.00080068
0.44448485 0.00125786
0.54437756 0.00180854
0.66079618 0.00255495
0.76376533 0.0032643
0.84782813 0.00389153
0.96140295 0.00481232
1.08030676 0.00580904
1.16719869 0.00656038
1.26484473 0.00746958
1.39734843 0.00877666
1.51951255 0.01002479
1.60704577 0.01090736
1.73771542 0.01238544
1.85956475 0.01379507
1.96350946 0.01500079
2.06418978 0.0162304
2.14782994 0.01726821
2.26139738 0.01879919
2.34737741 0.01991768
2.46125088 0.02155893
2.56376582 0.02301324
2.68063074 0.02476711
2.7835915 0.026311
3.08133104 0.03154758
3.24947446 0.03415496
3.36155184 0.03587183
3.46372531 0.03757363
3.5641284 0.03934829
3.66413235 0.04120154
3.76414341 0.0430993
3.84773399 0.04466249
3.9611702 0.04699317
4.08001116 0.04944242
4.16695091 0.05113912
4.28097729 0.0536082
4.38348811 0.05578918
4.50037503 0.05838618
4.60331176 0.06065472
4.68741017 0.06247916
4.8010212 0.06517898
4.90337001 0.06757798
4.98735484 0.0695054
5.08452568 0.07187854
5.20036522 0.0748306
5.31963254 0.07786552
5.39020908 0.07945834
5.4848901 0.0819453
5.60034878 0.08508274
